index,align_timestamp
531,[5495.2876 5495.3877]
532,[5495.3877 5495.487 ]
533,[5495.487  5495.5864]
534,[5495.5864 5495.6934]
535,[5495.6934 5495.7866]
536,[5495.7866 5495.886 ]
537,[5495.886 5495.985]
538,[5495.985 5496.085]
539,[5496.085 5496.185]
540,[5496.185 5496.284]
541,[5496.284 5496.384]
542,[5496.384  5496.4834]
543,[5496.4834 5496.583 ]
544,[5496.583 5496.685]
545,[5496.685  5496.7827]
546,[5496.7827 5496.883 ]
547,[5496.883  5496.9824]
548,[5496.9824 5497.082 ]
549,[5497.082  5497.1816]
550,[5497.1816 5497.2812]
551,[5497.2812 5497.382 ]
552,[5497.382  5497.4805]
553,[5497.4805 5497.5806]
554,[5497.5806 5497.6875]
555,[5497.6875 5497.78  ]
556,[5497.78   5497.8887]
557,[5497.8887 5497.989 ]
558,[5497.989  5498.0903]
559,[5498.0903 5498.1885]
560,[5498.1885 5498.289 ]
561,[5498.289  5498.3877]
562,[5498.3877 5498.48  ]
563,[5498.48  5498.577]
564,[5498.577 5498.684]
565,[5498.684 5498.777]
566,[5498.777 5498.88 ]
567,[5498.88  5498.979]
568,[5498.979  5499.0767]
569,[5499.0767 5499.176 ]
570,[5499.176  5499.2754]
571,[5499.2754 5499.3755]
572,[5499.3755 5499.4844]
573,[5499.4844 5499.5747]
574,[5499.5747 5499.6743]
575,[5499.6743 5499.774 ]
576,[5499.774  5499.8823]
577,[5499.8823 5499.973 ]
578,[5499.973 5500.074]
579,[5500.074 5500.173]
