index,align_timestamp
105,"[5411.9023 5412.0024 5412.102  5412.202  5412.3022 5412.4023 5412.5024
 5412.602  5412.702  5412.8022 5412.9023 5413.0024 5413.102  5413.202
 5413.3022 5413.4023]"
106,"[5412.0024 5412.102  5412.202  5412.3022 5412.4023 5412.5024 5412.602
 5412.702  5412.8022 5412.9023 5413.0024 5413.102  5413.202  5413.3022
 5413.4023 5413.5024]"
107,"[5412.102  5412.202  5412.3022 5412.4023 5412.5024 5412.602  5412.702
 5412.8022 5412.9023 5413.0024 5413.102  5413.202  5413.3022 5413.4023
 5413.5024 5413.602 ]"
108,"[5412.202  5412.3022 5412.4023 5412.5024 5412.602  5412.702  5412.8022
 5412.9023 5413.0024 5413.102  5413.202  5413.3022 5413.4023 5413.5024
 5413.602  5413.702 ]"
109,"[5412.3022 5412.4023 5412.5024 5412.602  5412.702  5412.8022 5412.9023
 5413.0024 5413.102  5413.202  5413.3022 5413.4023 5413.5024 5413.602
 5413.702  5413.8022]"
110,"[5412.4023 5412.5024 5412.602  5412.702  5412.8022 5412.9023 5413.0024
 5413.102  5413.202  5413.3022 5413.4023 5413.5024 5413.602  5413.702
 5413.8022 5413.9023]"
111,"[5412.5024 5412.602  5412.702  5412.8022 5412.9023 5413.0024 5413.102
 5413.202  5413.3022 5413.4023 5413.5024 5413.602  5413.702  5413.8022
 5413.9023 5414.0024]"
112,"[5412.602  5412.702  5412.8022 5412.9023 5413.0024 5413.102  5413.202
 5413.3022 5413.4023 5413.5024 5413.602  5413.702  5413.8022 5413.9023
 5414.0024 5414.102 ]"
113,"[5412.702  5412.8022 5412.9023 5413.0024 5413.102  5413.202  5413.3022
 5413.4023 5413.5024 5413.602  5413.702  5413.8022 5413.9023 5414.0024
 5414.102  5414.202 ]"
114,"[5412.8022 5412.9023 5413.0024 5413.102  5413.202  5413.3022 5413.4023
 5413.5024 5413.602  5413.702  5413.8022 5413.9023 5414.0024 5414.102
 5414.202  5414.3022]"
115,"[5412.9023 5413.0024 5413.102  5413.202  5413.3022 5413.4023 5413.5024
 5413.602  5413.702  5413.8022 5413.9023 5414.0024 5414.102  5414.202
 5414.3022 5414.4023]"
