index,align_timestamp,robot_timestamp,capture_time
70,5459.131240821,5459.129335809,5445158.0
71,5459.164338013,5459.159874721,5445192.0
72,5459.197705654,5459.195529542,5445225.0
73,5459.232005116,5459.231014924,5445258.0
74,5459.264186195,5459.261374789,5445291.0
75,5459.297177057,5459.296698618,5445324.0
76,5459.330404995,5459.327202283,5445358.0
77,5459.365013328,5459.362801399,5445391.0
78,5459.397183296,5459.393263616,5445424.0
79,5459.430713352,5459.428881247,5445457.0
80,5459.463941059,5459.459265277,5445491.0
81,5459.497457489,5459.49503283,5445524.0
82,5459.530407104,5459.525404137,5445557.0
83,5459.562957077,5459.560906371,5445590.0
84,5459.596235649,5459.591284299,5445624.0
85,5459.629330397,5459.626945402,5445657.0
86,5459.663466171,5459.662599862,5445690.0
87,5459.696262247,5459.692778096,5445723.0
88,5459.730860972,5459.728334562,5445756.0
89,5459.763295989,5459.758857423,5445790.0
90,5459.797430371,5459.794401405,5445823.0
91,5459.830478761,5459.830228961,5445856.0
92,5459.863515809,5459.860811244,5445889.0
93,5459.896609815,5459.896470523,5445923.0
94,5459.930577855,5459.926776828,5445956.0
95,5459.962840387,5459.962241952,5445989.0
96,5459.995337771,5459.992523129,5446022.0
97,5460.029439712,5460.028089774,5446055.0
98,5460.063150257,5460.058715318,5446089.0
99,5460.096670474,5460.094513058,5446122.0
100,5460.129576126,5460.125018186,5446155.0
101,5460.162019589,5460.160534977,5446188.0
102,5460.196090121,5460.19608431,5446222.0
103,5460.228576273,5460.226623702,5446255.0
104,5460.262380304,5460.262164338,5446288.0
105,5460.295568728,5460.292562024,5446321.0
106,5460.328667152,5460.323691226,5446355.0
107,5460.361432129,5460.359222284,5446388.0
108,5460.396652353,5460.394960411,5446421.0
109,5460.428083532,5460.42596564,5446454.0
110,5460.461957304,5460.461438388,5446487.0
111,5460.494587037,5460.491706811,5446521.0
112,5460.528318531,5460.527170823,5446554.0
113,5460.560736426,5460.557624615,5446587.0
114,5460.59495192,5460.593167134,5446620.0
115,5460.62726065,5460.623860336,5446654.0
116,5460.662495531,5460.659473719,5446687.0
117,5460.694154298,5460.689866235,5446720.0
118,5460.727970402,5460.725558897,5446753.0
119,5460.76001255,5460.755867676,5446787.0
120,5460.794341908,5460.791434532,5446820.0
121,5460.826739044,5460.821984604,5446853.0
122,5460.860829303,5460.857347195,5446886.0
123,5460.892995053,5460.892885036,5446919.0
124,5460.926154412,5460.923428456,5446953.0
125,5460.959787481,5460.959097624,5446986.0
126,5460.994022773,5460.989555453,5447019.0
127,5461.026226826,5461.021898387,5447052.0
128,5461.059790354,5461.057782839,5447086.0
129,5461.092355235,5461.088250627,5447119.0
130,5461.12660809,5461.124297956,5447152.0
131,5461.159033919,5461.154677548,5447185.0
132,5461.192676507,5461.190263449,5447219.0
133,5461.225289839,5461.220869918,5447252.0
134,5461.259670904,5461.256340613,5447285.0
135,5461.291823119,5461.286816987,5447318.0
136,5461.325696671,5461.322240192,5447351.0
137,5461.360009889,5461.357846441,5447385.0
138,5461.393810013,5461.393251242,5447418.0
139,5461.426111619,5461.424034203,5447451.0
140,5461.458911021,5461.454375723,5447484.0
141,5461.491285584,5461.489872958,5447518.0
142,5461.52507131,5461.520432318,5447551.0
143,5461.557929473,5461.555775703,5447584.0
144,5461.591890819,5461.591280592,5447617.0
145,5461.624103328,5461.621793414,5447651.0
146,5461.658340553,5461.657223673,5447684.0
147,5461.690709165,5461.687656114,5447717.0
148,5461.724725815,5461.723423126,5447750.0
149,5461.757833196,5461.754549562,5447783.0
150,5461.79160657,5461.790073737,5447817.0
151,5461.823497824,5461.820575559,5447850.0
152,5461.857671189,5461.856037878,5447883.0
153,5461.890067814,5461.88645472,5447916.0
154,5461.923803196,5461.922195282,5447950.0
155,5461.95698142,5461.952616202,5447983.0
156,5461.989119398,5461.988012056,5448016.0
157,5462.023568341,5462.018513407,5448049.0
158,5462.056795898,5462.054179399,5448082.0
159,5462.089279817,5462.084597323,5448116.0
160,5462.123216367,5462.120365246,5448149.0
161,5462.155793401,5462.150815361,5448182.0
162,5462.189672413,5462.186338053,5448215.0
163,5462.22225118,5462.221691227,5448249.0
164,5462.25597525,5462.252095185,5448282.0
165,5462.288692818,5462.28754501,5448315.0
166,5462.322459379,5462.318017837,5448348.0
167,5462.355397171,5462.354142261,5448382.0
168,5462.38732284,5462.384591484,5448415.0
169,5462.422745364,5462.415344999,5448448.0
170,5462.45591907,5462.451922495,5448481.0
171,5462.487987647,5462.487024757,5448515.0
172,5462.521814341,5462.517870916,5448548.0
173,5462.554863232,5462.552986553,5448581.0
174,5462.588651222,5462.588550162,5448614.0
175,5462.620942018,5462.61935288,5448647.0
176,5462.654617357,5462.649743142,5448681.0
177,5462.687748883,5462.685218135,5448714.0
178,5462.72153464,5462.720783297,5448747.0
179,5462.753809315,5462.751167929,5448780.0
180,5462.788015763,5462.786808212,5448814.0
181,5462.820496245,5462.817385606,5448847.0
182,5462.854338998,5462.852886868,5448880.0
183,5462.887305945,5462.883357631,5448913.0
184,5462.921070602,5462.919450726,5448947.0
185,5462.953223398,5462.949576351,5448980.0
186,5462.98790536,5462.984976543,5449013.0
187,5463.019792356,5463.015650098,5449046.0
188,5463.053675255,5463.051069947,5449079.0
189,5463.086216141,5463.081449008,5449113.0
190,5463.120274861,5463.116918851,5449146.0
191,5463.153195801,5463.152384766,5449179.0
192,5463.187044436,5463.182954887,5449212.0
193,5463.219093487,5463.213980373,5449246.0
194,5463.253702411,5463.249605458,5449279.0
195,5463.28560685,5463.285013014,5449312.0
196,5463.319851289,5463.315624081,5449345.0
197,5463.352620294,5463.351095547,5449379.0
198,5463.386149669,5463.38142776,5449412.0
199,5463.418519332,5463.413754654,5449445.0
200,5463.453141952,5463.449384818,5449478.0
201,5463.485038006,5463.484966371,5449511.0
202,5463.518723955,5463.515394174,5449545.0
203,5463.552515993,5463.550765702,5449578.0
204,5463.585721919,5463.58120161,5449611.0
205,5463.617947622,5463.616671333,5449644.0
206,5463.651744209,5463.647149169,5449678.0
207,5463.68466521,5463.682780736,5449711.0
208,5463.716901393,5463.71340027,5449744.0
209,5463.750881785,5463.748935586,5449777.0
210,5463.785132255,5463.784680055,5449811.0
211,5463.817468226,5463.815121964,5449844.0
212,5463.851270473,5463.850535391,5449877.0
213,5463.884108508,5463.880950841,5449910.0
214,5463.918391319,5463.916525391,5449944.0
215,5463.95060519,5463.946997587,5449977.0
216,5463.984014058,5463.982703343,5450010.0
217,5464.016777913,5464.012861709,5450043.0
218,5464.05076065,5464.048520588,5450076.0
219,5464.083228468,5464.079032408,5450110.0
220,5464.117488797,5464.115666,5450143.0
221,5464.149859483,5464.146223416,5450176.0
222,5464.183498183,5464.181685064,5450209.0
223,5464.21644399,5464.212495926,5450243.0
224,5464.251171607,5464.247861814,5450276.0
225,5464.283035771,5464.278368255,5450309.0
226,5464.316976408,5464.314343237,5450342.0
227,5464.349103787,5464.344894903,5450376.0
228,5464.383895835,5464.380323438,5450409.0
229,5464.416277191,5464.415796878,5450442.0
230,5464.449781859,5464.446278893,5450475.0
231,5464.483347181,5464.482901373,5450509.0
232,5464.516165609,5464.513803688,5450542.0
233,5464.548877506,5464.544420937,5450575.0
234,5464.582264192,5464.580485408,5450608.0
235,5464.615031133,5464.610835484,5450641.0
236,5464.648879297,5464.646298905,5450675.0
237,5464.681410124,5464.67699401,5450708.0
238,5464.715578991,5464.712340552,5450741.0
239,5464.747753778,5464.74280881,5450774.0
240,5464.781548121,5464.778200827,5450808.0
241,5464.814200817,5464.813848374,5450841.0
242,5464.848315822,5464.84433651,5450874.0
243,5464.88061298,5464.880093082,5450907.0
244,5464.914633207,5464.910515976,5450941.0
245,5464.955372208,5464.951047196,5450974.0
246,5464.981211463,5464.976545219,5451007.0
247,5465.014129698,5465.012497068,5451040.0
248,5465.048060527,5465.047905205,5451073.0
249,5465.080134996,5465.078720887,5451107.0
250,5465.114086995,5465.109799063,5451140.0
251,5465.146753497,5465.145328478,5451173.0
252,5465.18113825,5465.180708963,5451206.0
253,5465.21312799,5465.211340318,5451240.0
254,5465.247259686,5465.246637286,5451273.0
255,5465.279487173,5465.277274923,5451306.0
256,5465.313298127,5465.312983746,5451339.0
257,5465.346435935,5465.343122795,5451373.0
258,5465.380171257,5465.378617215,5451406.0
259,5465.412562301,5465.409419391,5451439.0
260,5465.446353297,5465.444866842,5451472.0
261,5465.47906795,5465.475444917,5451505.0
262,5465.512698224,5465.510921413,5451539.0
263,5465.545424228,5465.54122385,5451572.0
264,5465.579717979,5465.577532811,5451605.0
265,5465.612480322,5465.608344595,5451638.0
266,5465.645739678,5465.644036265,5451672.0
267,5465.678309348,5465.674473025,5451705.0
268,5465.712216613,5465.710050681,5451738.0
269,5465.74471553,5465.740397401,5451771.0
270,5465.779264963,5465.775910615,5451805.0
271,5465.811230406,5465.806370408,5451838.0
272,5465.84488689,5465.841831495,5451871.0
273,5465.877717701,5465.877606612,5451904.0
274,5465.911959394,5465.907772462,5451938.0
275,5465.944419108,5465.943654901,5451971.0
276,5465.979603274,5465.97912266,5452004.0
277,5466.011561143,5466.009637917,5452037.0
278,5466.044535243,5466.040261257,5452070.0
279,5466.077206705,5466.075871574,5452104.0
280,5466.111697697,5466.111421027,5452137.0
281,5466.143568874,5466.141833351,5452170.0
282,5466.176009672,5466.172425723,5452203.0
283,5466.210596855,5466.208289256,5452237.0
284,5466.247310587,5466.243470426,5452270.0
285,5466.276533915,5466.274173667,5452303.0
286,5466.310546057,5466.309590751,5452336.0
287,5466.342951358,5466.340159228,5452370.0
288,5466.375121967,5466.370617708,5452403.0
289,5466.410270366,5466.406058977,5452436.0
290,5466.443884149,5466.441449241,5452469.0
291,5466.476141532,5466.472087499,5452502.0
292,5466.510866855,5466.507759422,5452536.0
293,5466.542388795,5466.537995444,5452569.0
294,5466.5766842,5466.573516684,5452602.0
295,5466.608938647,5466.604149372,5452635.0
296,5466.642689177,5466.639487387,5452669.0
297,5466.675657607,5466.675117862,5452702.0
298,5466.709592684,5466.705455575,5452735.0
299,5466.741729109,5466.741301515,5452768.0
300,5466.774515467,5466.77202821,5452802.0
301,5466.809149468,5466.8072626,5452835.0
302,5466.842309408,5466.838133095,5452868.0
303,5466.874678471,5466.873694541,5452901.0
304,5466.90890711,5466.904228633,5452935.0
305,5466.94121637,5466.939836856,5452968.0
306,5466.974880027,5466.970338808,5453001.0
307,5467.008831706,5467.006478441,5453034.0
308,5467.041718853,5467.04163262,5453067.0
309,5467.073210095,5467.071946719,5453101.0
310,5467.108389532,5467.107422664,5453134.0
311,5467.139839286,5467.137943622,5453167.0
312,5467.172791786,5467.168567162,5453200.0
313,5467.20701261,5467.204178892,5453234.0
314,5467.239340005,5467.234813864,5453267.0
315,5467.272532175,5467.270485406,5453300.0
316,5467.306021404,5467.305881771,5453333.0
317,5467.340127222,5467.336299014,5453367.0
318,5467.37218541,5467.3720522,5453400.0
319,5467.405726487,5467.402295826,5453433.0
320,5467.438528924,5467.437789494,5453466.0
321,5467.472100899,5467.46827243,5453499.0
322,5467.506276819,5467.503901513,5453533.0
323,5467.538236151,5467.534362598,5453566.0
324,5467.571859272,5467.57005014,5453599.0
325,5467.605599182,5467.600432317,5453632.0
326,5467.637904786,5467.636014441,5453666.0
327,5467.671250946,5467.666468403,5453699.0
328,5467.705659593,5467.701933768,5453732.0
329,5467.737675672,5467.733444156,5453765.0
330,5467.770817568,5467.76945673,5453799.0
331,5467.805096983,5467.804838798,5453832.0
